exp,myvar,citation,full_reference,X,bibtexkey
dukeface_c,agb,schnitzer_et_al_2008,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@schnitzer_et_al_2008
dukeface_c,asat,herrick_and_thomas_1998,herrick_jd_and_thomas_rb_1998_effects_of_co2_enrichment_on_the_photosynthetic_light_response_of_sun_and_shade_leaves_of_canopy_sweetgum_liquidambar_styraciflua_in_a_forest_ecosystem_tree_phsyiologu_19:_779-786,NA,@herrick_and_thomas_1998
dukeface_c,asat,logan_et_al_2009,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@logan_et_al_2009
dukeface_c,asat,naumburg_and_ellsworth_2000,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@naumburg_and_ellsworth_2000
dukeface_c,asat,springer_and_thomas_2006,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@springer_and_thomas_2006
dukeface_c,asat,springer_et_al_2005,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@springer_et_al_2005
dukeface_c,leaf_n_area,ellsworth_et_al_2012,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@ellsworth_et_al_2012
dukeface_c,leaf_n_area,herrick_and_thomas_1998,herrick_jd_and_thomas_rb_1998_effects_of_co2_enrichment_on_the_photosynthetic_light_response_of_sun_and_shade_leaves_of_canopy_sweetgum_liquidambar_styraciflua_in_a_forest_ecosystem_tree_phsyiologu_19:_779-786,NA,@herrick_and_thomas_1998
dukeface_c,leaf_n_area,springer_and_thomas_2006,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@springer_and_thomas_2006
dukeface_c,leaf_n_area,springer_et_al_2005,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@springer_et_al_2005
dukeface_c,n_inorg,NA,NA,NA,NA
dukeface_c,jmax,springer_and_thomas_2006,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@springer_and_thomas_2006
dukeface_c,jmax,ellsworth_et_al_2012,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@ellsworth_et_al_2012
dukeface_c,jmax,paschalis_et_al_2016,paschalis_a_katul_gg_fatichi_s_palmroth_s_way_d_2017_on_the_variability_of_the_ecosystem_response_to_elevated_atmospheric_co_2_across_spatial_and_temporal_scales_at_the_duke_forest_face_experiment_agricultural_and_forest_meteorology_232:_367-383,NA,@paschalis_et_al_2016
duolun7_c,gpp,an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_more_experimental_information_see_song_et_al_2019_ecology_letters_22:458-468,NA,NA,NA
duolun7_c,bgb,an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_more_experimental_information_see_song_et_al_2019_ecology_letters_22:458-468,NA,NA,NA
duolun7_c,agb,an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_more_experimental_information_see_song_et_al_2019_ecology_letters_22:458-468,NA,NA,NA
duolun7_c,root_shoot_ratio,an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_more_experimental_information_see_song_et_al_2019_ecology_letters_22:458-468,NA,NA,NA
dwingeloo_c,bgb,heijmans_et_al_2001b,hoosbeek_mr_van_breemen_n_vasander_h_buttler_a_berendse_f_2002_potassium_limits_potential_growth_of_bog_vegetation_under_elevated_atmospheric_co2_and_n_deposition_global_change_biology_8_1130-1138,NA,@heijmans_et_al_2001b
