exp,myvar,citation
eth_face_c,bgb,ineson_et_al_1996
eucface_c,vcmax,pathare_et_al_2017
eucface_c,leaf_n_mass,gherlenda_et_al_2016
eucface_c,leaf_n_mass,pathare_et_al_2017
eucface_c,leaf_n_area,pathare_et_al_2017
eucface_c,n_inorg,NA
eucface_c,gpp,jiang_et_al_2020
eucface_c,root_production,jiang_et_al_2020
eucface_c,bgb,jiang_et_al_2020
eucface_c,anpp,jiang_et_al_2020
eucface_c,agb,jiang_et_al_2020
eucface_c,jmax,pathare_et_al_2017
euroface_pa_c,bgb,lukac_et_al_2003
euroface_pa_c,bgb,liberloo_et_al_2006
euroface_pa_c,bgb,gielen_et_al_2005
euroface_pa_c,bgb,calfapietra_et_al_2003
euroface_pa_c,lai,gielen_et_al_2001
euroface_pa_c,lai,finzi_et_al_2007
euroface_pa_c,root_shoot_ratio,liberloo_et_al_2006
euroface_pa_c,root_shoot_ratio,calfapietra_et_al_2003
euroface_pa_c,root_shoot_ratio,gielen_et_al_2005
euroface_pa_c,agb,gielen_et_al_2005
euroface_pa_c,agb,calfapietra_et_al_2003
euroface_pa_c,agb,liberloo_et_al_2006
euroface_pa_c,agb,liberloo_et_al_2005
euroface_pa_c,vcmax,hovenden_2003
euroface_pa_c,vcmax,liberloo_et_al_2007
euroface_pa_c,vcmax,bernacchi_et_al_2003
euroface_pa_c,vcmax,wittig_et_al_2005
euroface_pa_c,anpp,liberloo_et_al_2004
euroface_pa_c,anpp,finzi_et_al_2007
euroface_pa_c,anpp,liberloo_et_al_2005
euroface_pa_c,asat,bernacchi_et_al_2003
euroface_pa_c,asat,hovenden_2003
euroface_pa_c,root_production,NA
euroface_pa_c,gpp,wittig_et_al_2005
euroface_pa_c,leaf_n_mass,calfapietra_et_al_2007
euroface_pa_c,leaf_n_mass,finzi_et_al_2007
euroface_pa_c,leaf_n_mass,gielen_et_al_2003a
euroface_pa_c,leaf_n_mass,tricker_et_al_2004
euroface_pa_c,leaf_n_area,finzi_et_al_2007
euroface_pa_c,leaf_n_area,gielen_et_al_2003a
euroface_pa_c,leaf_n_area,tricker_et_al_2004
euroface_pa_c,jmax,hovenden_2003
euroface_pa_c,jmax,liberloo_et_al_2007
euroface_pa_c,jmax,bernacchi_et_al_2003
euroface_pa_c,jmax,wittig_et_al_2005
euroface_pe_c,bgb,lukac_et_al_2003
euroface_pe_c,bgb,liberloo_et_al_2006
euroface_pe_c,bgb,gielen_et_al_2005
euroface_pe_c,bgb,calfapietra_et_al_2003
euroface_pe_c,lai,gielen_et_al_2001
euroface_pe_c,lai,finzi_et_al_2007
euroface_pe_c,root_shoot_ratio,liberloo_et_al_2006
euroface_pe_c,root_shoot_ratio,calfapietra_et_al_2003
euroface_pe_c,root_shoot_ratio,gielen_et_al_2005
euroface_pe_c,agb,gielen_et_al_2005
euroface_pe_c,agb,calfapietra_et_al_2003
euroface_pe_c,agb,liberloo_et_al_2005
euroface_pe_c,vcmax,hovenden_2003
euroface_pe_c,vcmax,liberloo_et_al_2007
euroface_pe_c,vcmax,calfapietra_et_al_2004
euroface_pe_c,vcmax,bernacchi_et_al_2003
euroface_pe_c,vcmax,wittig_et_al_2005
euroface_pe_c,anpp,liberloo_et_al_2004
euroface_pe_c,anpp,finzi_et_al_2007
euroface_pe_c,anpp,liberloo_et_al_2005
euroface_pe_c,asat,bernacchi_et_al_2003
euroface_pe_c,asat,calfapietra_et_al_2004
euroface_pe_c,asat,hovenden_2003
euroface_pe_c,asat,tricker_et_al_2005
euroface_pe_c,root_production,NA
euroface_pe_c,gpp,wittig_et_al_2005
euroface_pe_c,leaf_n_mass,calfapietra_et_al_2007
euroface_pe_c,leaf_n_mass,calfapietra_et_al_2004
euroface_pe_c,leaf_n_mass,finzi_et_al_2007
euroface_pe_c,leaf_n_mass,gielen_et_al_2003a
euroface_pe_c,leaf_n_mass,tricker_et_al_2004
euroface_pe_c,leaf_n_area,calfapietra_et_al_2004
euroface_pe_c,leaf_n_area,finzi_et_al_2007
euroface_pe_c,leaf_n_area,gielen_et_al_2003a
euroface_pe_c,leaf_n_area,tricker_et_al_2004
