"exp","myvar","citation","full_reference","X","bibtexkey"
"aspenface_pt_c","asat","sharma_et_al_2003","sharma_p_sober_a_sober_j_podila_gk_kubiske_me_mattson_wj_isebrands_jg_karnosky_df_2003_moderation_of_[co2]-induced_gas_exchange_responses_by_elevated_tropospheric_o3_in_trembling_aspen_and_sugar_maple_ekologia_22:304–317",NA,"@sharma_et_al_2003"
"aspenface_pt_c","asat","takeuchi_et_al_2001","takeuchi_y_kubiske_me_isebrands_jg_pregitzer_ks_hendrey_g_karnosky_df_2001_photosynthesis_light_and_nitrogen_relationships_in_a_young_deciduous_forest_canopy_under_open-air_co2_enrichment_plant_cell_and_environment_24:1257–1268",NA,"@takeuchi_et_al_2001"
"aspenface_pt_c","asat","taylor_et_al_2007","taylor_g_tallis_mj_giardina_cp_percy_ke_miglietta_f_gupta_ps_gioli_b_calfapietra_c_gielen_b_kubiske_me_scarascia-mugnozza_ge_kets_k_long_sp_karnosky_df_2007_future_atmospheric_co2_leads_to_delayed_autumnal_senescence:_future_co2_delays_autumnal_senescence_in_populus_global_change_biology_14:264–275",NA,"@taylor_et_al_2007"
"aspenface_pt_c","leaf_n_mass","finzi_et_al_2008","agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588–599",NA,"@finzi_et_al_2008"
"aspenface_pt_c","leaf_n_mass","holton_et_al_2003","holton_mk_lindroth_rl_nordheim_ev_2003_foliar_quality_influences_tree-herbivore-parasitoid_interactions:_effects_of_elevated_co_2__o_3__and_plant_genotype_oecologia_137:233–244",NA,"@holton_et_al_2003"
"aspenface_pt_c","leaf_n_mass","kopper_and_lindroth_2003a","kopper_bj_lindroth_rl_2003_responses_of_trembling_aspen_populus_tremuloides_phytochemistry_and_aspen_blotch_leafminer_phyllonorycter_tremuloidiella_performance_to_elevated_levels_of_atmospheric_co2_and_o3_agricultural_and_forest_entomology_5:17–26",NA,"@kopper_and_lindroth_2003a"
"aspenface_pt_c","leaf_n_mass","kopper_and_lindroth_2003b","agrell_j_kopper_b_mcdonald_ep_lindroth_rl_2005_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_malacosoma_disstria_global_change_biology_11:588–599",NA,"@kopper_and_lindroth_2003b"
"aspenface_pt_c","leaf_n_mass","lindroth_et_al_2002","lindroth_rl_wood_sa_kopper_bj_2002_response_of_quaking_aspen_genotypes_to_enriched_co2:_foliar_chemistry_and_insect_performance_agricultural_and_forest_entomology_4:315–323",NA,"@lindroth_et_al_2002"
"aspenface_pt_c","leaf_n_mass","vigue_and_lindroth_2010","vigue_lm_lindroth_rl_2010_effects_of_genotype_elevated_co_2_and_elevated_o_3_on_aspen_phytochemistry_and_aspen_leaf_beetle_chrysomela_crotchi_performance_agricultural_and_forest_entomology",NA,"@vigue_and_lindroth_2010"
"aspenface_ptas_c","leaf_n_mass","kopper_et_al_2001","kaakinen_s_kostiainen_k_ek_f_saranpaa_p_kubiske_me_sober_j_karnosky_df_vapaavuori_e_2004_stem_wood_properties_of_populus_tremuloides_betula_papyrifera_and_acer_saccharum_saplings_after_3_years_of_treatments_to_elevated_carbon_dioxide_and_ozone_global_change_biology_10:1513–1525",NA,"@kopper_et_al_2001"
"aspenface_ptas_c","leaf_n_mass","muntifering_et_al_2006","muntifering_rb_chappelka_ah_karnosky_df_somers_gl_2006_chemical_composition_and_digestibility_of_trifolium_exposed_to_elevated_ozone_and_carbon_dioxide_in_a_free-air_face_fumigation_system_functional_ecology_20:269–275",NA,"@muntifering_et_al_2006"
"bangorface_c","bgb","smith_et_al_2012","free_atmospheric_co2_enrichment_increased_above_ground_biomass_but_did_not_affect_symbiotic_n2-fixation_and_soil_carbon_dynamics_in_a_mixed_deciduous_stand_in_wales",NA,"@smith_et_al_2012"
"bangorface_c","agb","hoosbeek_et_al_2011","free_atmospheric_co2_enrichment_increased_above_ground_biomass_but_did_not_affect_symbiotic_n2-fixation_and_soil_carbon_dynamics_in_a_mixed_deciduous_stand_in_wales",NA,"@hoosbeek_et_al_2011"
"biforface_c","asat","gardner_et_al_2021","gardner_a_ellsworth_ds_crous_ky_pritchard_j_and_mackenzie_ar_2021_is_photosynthetic__enhancement_sustained_through_three_years_of_elevated_co2_exposure_in_175-year_old_quercus_robur?_tree_physiology",NA,"@gardner_et_al_2021"
"biocon_c","bgb","crous_et_al_2010","crous_ky_reich_pb_hunter_md_ellsworth_ds_2010_maintenance_of_leaf_n_controls_the_photosynthetic_co2_response_of_grassland_species_exposed_to_9_years_of_free?air_co2_enrichment global_change_biology 167:_2076-2088",NA,"@crous_et_al_2010"
"biocon_c","bgb","he_et_al_2010","he_z_xu_m_deng_y_kang_s_kellogg_l_wu_l_zhou_j_2010_metagenomic_analysis_reveals_a_marked_divergence_in_the_structure_of_belowground_microbial_communities_at_elevated_co2 ecology_letters 135:_564-575",NA,"@he_et_al_2010"
"biocon_c","bgb","antoninka_et_al_2011","antoninka_a_reich_pb_johnson_nc_2011_seven_years_of_carbon_dioxide_enrichment_nitrogen_fertilization_and_plant_diversity_influence_arbuscular_mycorrhizal_fungi_in_a_grassland_ecosystem new_phytologist 1921:_200-214",NA,"@antoninka_et_al_2011"
"biocon_c","bgb","reich_et_al_2001a","reich_pb_tilman_d_craine_j_ellsworth_d_tjoelker_mg_knops_j_bengtson_w_et_al_2001_do_species_and_functional_groups_differ_in_acquisition_and_use_of_c_n_and_water_under_varying_atmospheric_co2_and_n_availability_regimes?_a_field_test_with_16_grassland_species new_phytologist 1502:_435-448",NA,"@reich_et_al_2001a"
"biocon_c","bgb","tu_et_al_2017","tu_q_he_z_wu_l_xue_k_xie_g_chain_p_zhou_j_2017_metagenomic_reconstruction_of_nitrogen_cycling_pathways_in_a_co_2-enriched_grassland_ecosystem soil_biology_and_biochemistry 106:_99-108",NA,"@tu_et_al_2017"
